X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-186.504,270.279,999.0,999.0,-1.79,0.29,1,0.9981193243758807
-302.853,133.119,999.0,999.0,-1.89,0.28,1,0.9977683709036127
-151.791,75.266,999.0,999.0,-1.84,0.21,1,0.9984776742327406
239.793,148.395,999.0,999.0,-1.7,0.3,1,0.988836513928836
-358.976,231.212,999.0,999.0,-2.13,0.23,1,0.9962539880593242
-186.536,75.871,999.0,999.0,-1.84,0.25,1,0.9983066980422385
-21.081,227.334,999.0,999.0,-2.22,0.23,1,0.9985176845890925
-213.419,-13.979,111.584,4.3,-1.8,0.21,1,0.9924794189665965
-140.087,117.391,111.268,4.78,-1.84,0.2,1,0.9989167513644422
81.043,125.052,999.0,999.0,-1.93,0.25,1,0.9979895372581318
-65.759,93.103,999.0,999.0,-2.11,0.3,1,0.9987653846231755
49.976,67.726,999.0,999.0,-2.3,0.25,1,0.9977517544531559
-250.394,235.733,999.0,999.0,-1.92,0.27,1,0.9982638235618723
-239.586,200.784,999.0,999.0,-2.08,0.25,1,0.9986169324210974
-324.364,218.88,999.0,999.0,-1.9,0.21,1,0.9974073835730447
348.528,146.379,999.0,999.0,-1.6,0.27,1,0.9367228367014534
-215.322,363.57,999.0,999.0,-1.95,0.3,1,0.9909561401085427
32.315,275.584,999.0,999.0,-2.29,0.24,1,0.9966220369747305
-1.646,-174.483,999.0,999.0,-1.53,0.24,1,0.7028799710666734
-280.89,124.915,999.0,999.0,-2.2,0.2,1,0.9980359092447528
-154.946,131.767,999.0,999.0,-2.06,0.21,1,0.9989543481182894
-14.341,156.03,999.0,999.0,-1.92,0.23,1,0.9988664527744889
-322.511,134.479,999.0,999.0,-1.85,0.29,1,0.9973756205403419
-57.369,281.322,999.0,999.0,-2.28,0.27,1,0.997681921051316
-17.473,278.73,122.496,4.8,-1.96,0.26,1,0.9973680748086984
62.932,167.094,123.175,4.23,-2.35,0.2,1,0.9982408849881483
-14.96,84.724,999.0,999.0,-2.18,0.26,1,0.9985334683236678
-257.0,218.051,999.0,999.0,-1.51,0.2,1,0.9983775766314669
-127.625,254.73,999.0,999.0,-2.0,0.25,1,0.998497214641098
-178.832,-8.4,130.903,4.72,-2.37,0.3,1,0.9943547941112163
-143.061,-54.925,999.0,999.0,-1.92,0.2,1,0.9866317725265852
-320.05,438.696,999.0,999.0,-1.76,0.21,1,0.9156167687199455
-12.187,114.675,999.0,999.0,-2.27,0.21,1,0.9987594036231361
-127.533,88.6,999.0,999.0,-1.89,0.23,1,0.9987129910889089
10.946,106.12,999.0,999.0,-1.58,0.23,1,0.9985840284168301
-23.926,258.21,999.0,999.0,-1.87,0.22,1,0.9980247041999806
44.377,163.991,999.0,999.0,-2.0,0.21,1,0.9984573629572536
21.479,392.579,999.0,999.0,-1.81,0.2,1,0.9677801140603121
-215.441,90.711,999.0,999.0,-2.33,0.25,1,0.9983247009460503
-203.918,175.367,999.0,999.0,-1.95,0.26,1,0.9988706098758551
6.427,97.32,999.0,999.0,-2.05,0.26,1,0.9985428785398265
-288.266,172.283,999.0,999.0,-1.82,0.25,1,0.9982061100071716
