X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
109.701,57.3,122.3,4.25,-1.21,0.29,1,0.9990999330878914
268.018,25.29,999.0,999.0,-1.69,0.3,1,0.9984231780654559
83.167,22.523,999.0,999.0,-1.43,0.24,1,0.9995837944815061
60.369,-53.521,999.0,999.0,-1.54,0.21,1,0.9994886914423555
182.893,-46.206,999.0,999.0,-1.35,0.24,1,0.9993914956687076
167.14,-61.696,999.0,999.0,-1.19,0.28,1,0.9992685167665674
17.273,-12.386,999.0,999.0,-1.2,0.21,1,0.9995832468915606
236.5,9.244,126.977,4.23,-0.75,0.23,1,0.999149702341198
63.143,-82.401,999.0,999.0,-1.32,0.25,1,0.9989543184421692
229.211,-25.394,999.0,999.0,-1.65,0.3,1,0.9992465681881461
97.393,26.811,999.0,999.0,-1.21,0.23,1,0.9995570320675419
70.994,-0.097,999.0,999.0,-1.25,0.27,1,0.9996584889443818
28.279,70.181,999.0,999.0,-1.52,0.29,1,0.9983856531487859
126.688,-52.587,999.0,999.0,-1.3,0.28,1,0.9994952366973608
-19.481,11.54,999.0,999.0,-1.38,0.29,1,0.9993789480640257
-79.452,-29.888,999.0,999.0,-0.98,0.23,1,0.9987536302657051
34.844,13.934,999.0,999.0,-1.16,0.28,1,0.9995703483818879
-79.999,-18.325,999.0,999.0,-1.26,0.24,1,0.9988258563027477
-12.82,-46.756,999.0,999.0,-1.04,0.26,1,0.9993023034162267
172.373,27.89,116.86,4.52,-0.73,0.2,1,0.9994122067176363
6.565,20.387,999.0,999.0,-0.46,0.28,1,0.9994475834450799
151.924,-4.54,999.0,999.0,-1.16,0.22,1,0.9996184739279043
-12.611,17.116,999.0,999.0,-0.75,0.27,1,0.9993807352309997
99.203,-36.351,999.0,999.0,-1.14,0.21,1,0.999621341618785
198.622,-39.339,999.0,999.0,-1.01,0.21,1,0.9993706869504854
196.752,26.451,999.0,999.0,-1.14,0.26,1,0.999306647862967
17.184,-27.673,999.0,999.0,-1.29,0.28,1,0.9995558920407017
154.703,-77.585,999.0,999.0,-1.41,0.26,1,0.99897438134191
64.007,49.743,999.0,999.0,-0.64,0.28,1,0.9992527335752799
-170.557,-64.104,112.172,5.04,-0.75,0.28,1,0.9886136313524636
271.32,-61.239,114.986,4.56,-0.92,0.22,1,0.9977910162296607
47.122,-1.254,999.0,999.0,-0.98,0.3,1,0.999636047522127
-135.609,-4.7,999.0,999.0,-1.68,0.28,1,0.9969968139004665
111.489,-72.841,999.0,999.0,-1.48,0.29,1,0.9992262929230907
112.203,16.603,119.588,4.1,-1.35,0.26,1,0.9996104873039956
80.333,-33.912,120.477,4.09,-1.51,0.24,1,0.9996293199139059
98.392,-11.577,999.0,999.0,-0.83,0.23,1,0.9996727293093168
30.015,-9.959,999.0,999.0,-1.27,0.3,1,0.9996135236306659
208.246,-85.557,999.0,999.0,-0.99,0.29,1,0.9980361716710594
240.818,-12.735,999.0,999.0,-0.93,0.26,1,0.9991742388903335
119.9,-75.02,999.0,999.0,-1.89,0.28,1,0.9991646470275989
108.926,-26.541,999.0,999.0,-1.54,0.28,1,0.9996505827896353
-48.897,-42.248,999.0,999.0,-1.23,0.24,1,0.9990477344478342
216.247,58.461,121.745,4.67,-0.83,0.22,1,0.9982535653593335
145.423,-11.386,999.0,999.0,-1.39,0.22,1,0.999632734913491
218.268,-84.944,999.0,999.0,-1.37,0.24,1,0.9978677357983429
-18.052,-27.148,999.0,999.0,-1.59,0.25,1,0.9994155870407471
227.314,36.043,999.0,999.0,-0.94,0.23,1,0.9988777463501691
-170.376,12.591,999.0,999.0,-1.15,0.25,1,0.9931027213040401
246.718,31.703,109.51,4.82,-1.42,0.24,1,0.9986927501915732
188.125,4.619,999.0,999.0,-1.37,0.21,1,0.999496230755362
36.853,9.854,999.0,999.0,-0.69,0.24,1,0.9995911639437259
150.158,46.688,999.0,999.0,-1.11,0.26,1,0.9992354580175226
153.612,-57.897,999.0,999.0,-1.21,0.3,1,0.9993761872770847
0.941,-32.473,999.0,999.0,-1.18,0.3,1,0.9994808984461517
-41.106,-65.881,999.0,999.0,-1.68,0.25,1,0.9986401848684374
93.464,-48.865,999.0,999.0,-1.2,0.23,1,0.999549634730377
31.317,-24.074,999.0,999.0,-1.26,0.24,1,0.9996006164046138
-3.68,-86.074,999.0,999.0,-1.19,0.26,1,0.9983215093170225
253.057,-107.891,999.0,999.0,-1.66,0.29,1,0.9923506683963498
212.891,-33.784,999.0,999.0,-1.36,0.24,1,0.9993229594905123
214.77,-70.181,127.438,3.13,-1.06,0.23,1,0.9986651921396825
204.116,18.998,120.605,4.9,-1.04,0.26,1,0.9993342783549902
90.677,-14.302,999.0,999.0,-1.17,0.27,1,0.9996721227234447
55.935,-35.615,136.547,5.1,-1.72,0.27,1,0.9996028325067055
277.475,-21.253,999.0,999.0,-1.14,0.2,1,0.9985824355738393
208.789,-16.695,112.354,4.37,-1.01,0.21,1,0.9994181759592945
197.038,41.634,123.043,3.85,-0.49,0.28,1,0.999067300900667
104.947,50.031,999.0,999.0,-1.03,0.21,1,0.9992695811767723
220.64,23.486,999.0,999.0,-1.37,0.24,1,0.9991631949024783
-97.946,-44.648,999.0,999.0,-0.8,0.2,1,0.9980357759643056
-5.246,-1.964,112.998,3.85,-1.33,0.24,1,0.9995004022061855
137.726,-2.716,999.0,999.0,-0.99,0.28,1,0.9996395825163549
104.731,-19.848,112.721,6.73,-0.97,0.28,1,0.9996649625841985
228.149,-37.835,999.0,999.0,-1.73,0.28,1,0.9991648812461911
110.115,-17.459,999.0,999.0,-1.11,0.26,1,0.9996655931349071
58.49,36.834,999.0,999.0,-0.79,0.2,1,0.9994396417443413
-22.732,-38.027,999.0,999.0,-0.89,0.26,1,0.9993216435112537
169.728,-70.691,999.0,999.0,-1.03,0.21,1,0.9990746035619257
-26.272,7.436,999.0,999.0,-1.32,0.27,1,0.9993595824361419
-14.565,-7.767,132.05,4.09,-0.97,0.26,1,0.9994659514022075
13.468,78.622,999.0,999.0,-1.03,0.24,1,0.9975845940192547
191.144,-22.572,999.0,999.0,-1.15,0.22,1,0.9994923231023862
105.203,-38.246,999.0,999.0,-0.88,0.22,1,0.9996110125889024
38.863,-78.329,117.547,4.96,-0.93,0.22,1,0.9989936759633345
125.515,-33.45,999.0,999.0,-0.95,0.23,1,0.9996165214503224
76.874,116.029,999.0,999.0,-1.29,0.23,1,0.9892635606236139
14.641,-88.379,999.0,999.0,-1.43,0.26,1,0.9984161811941559
190.061,-7.087,999.0,999.0,-1.83,0.3,1,0.9995116397538774
-90.85,0.891,116.725,2.87,-1.11,0.27,1,0.9985940889047037
-8.901,8.074,999.0,999.0,-0.87,0.22,1,0.9994529658894789
105.325,54.344,123.65,5.05,-1.75,0.26,1,0.9991779584352357
-161.758,38.257,999.0,999.0,-1.19,0.26,1,0.9914573266486696
301.723,20.018,999.0,999.0,-0.68,0.29,1,0.9974749393958187
83.64,-21.987,999.0,999.0,-1.09,0.22,1,0.9996624711622455
82.628,-30.632,999.0,999.0,-1.29,0.2,1,0.9996414670441018
-88.577,46.449,999.0,999.0,-1.3,0.21,1,0.9973180575965636
161.633,9.848,999.0,999.0,-0.98,0.27,1,0.9995635198637447
49.325,71.915,999.0,999.0,-1.51,0.2,1,0.9984419584573057
42.311,86.239,999.0,999.0,-1.06,0.26,1,0.997198173206525
136.932,-25.853,999.0,999.0,-1.09,0.21,1,0.9996265251497581
100.831,-41.49,122.223,2.97,-1.16,0.2,1,0.9995960449948729
185.144,11.184,999.0,999.0,-0.82,0.21,1,0.999481523357176
82.196,2.958,999.0,999.0,-1.7,0.25,1,0.9996583719522457
114.671,-31.535,999.0,999.0,-1.22,0.23,1,0.9996328117671734
217.537,3.546,999.0,999.0,-1.24,0.21,1,0.9993422418711495
58.485,10.785,999.0,999.0,-0.93,0.28,1,0.999620580346287
-13.52,-138.767,999.0,999.0,-1.25,0.25,1,0.981371895366502
96.314,29.582,999.0,999.0,-1.1,0.28,1,0.9995359956203138
190.271,11.712,999.0,999.0,-1.25,0.29,1,0.9994570485220606
196.813,-50.413,999.0,999.0,-1.04,0.26,1,0.9992686308181653
194.029,-20.383,118.318,2.61,-1.03,0.26,1,0.9994852715793745
151.984,60.75,999.0,999.0,-1.51,0.21,1,0.9988571150539074
