X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
128.859,-65.546,-77.186,4.2,-1.94,0.27,1,0.9996344823382413
164.883,-83.563,999.0,999.0,-1.61,0.27,1,0.999631823480945
-16.63,6.23,999.0,999.0,-2.08,0.22,1,0.9962168495565368
50.053,-21.321,999.0,999.0,-2.17,0.25,1,0.9990860373407662
129.476,-128.187,-64.932,4.13,-2.35,0.24,1,0.9996698737367693
208.404,-110.571,999.0,999.0,-1.54,0.22,1,0.9994955129012494
183.528,-55.958,999.0,999.0,-1.95,0.21,1,0.9993712891724543
185.038,-121.335,-80.044,5.05,-1.09,0.26,1,0.9995973426438846
136.348,-65.79,999.0,999.0,-1.85,0.21,1,0.9996255291039737
131.701,-236.5,-81.456,5.12,-1.66,0.26,1,0.9935245187922811
36.907,-124.689,999.0,999.0,-2.01,0.25,1,0.9994311993997703
47.647,-62.456,999.0,999.0,-1.72,0.26,1,0.9995320642566428
112.468,-114.222,999.0,999.0,-1.47,0.26,1,0.9996977134723953
-54.112,-49.968,999.0,999.0,-1.46,0.21,1,0.9974990882066628
122.887,-89.089,999.0,999.0,-1.59,0.28,1,0.9997023480025202
157.05,-121.44,-57.157,4.68,-1.78,0.27,1,0.9996643104970498
81.243,-134.807,-72.488,4.0,-1.96,0.22,1,0.9995817710602699
149.74,-54.844,999.0,999.0,-1.85,0.29,1,0.9995267016556543
180.61,-123.013,999.0,999.0,-1.28,0.24,1,0.99960869138639
-24.364,-86.085,999.0,999.0,-2.13,0.28,1,0.9988248931694609
92.122,-152.544,999.0,999.0,-1.33,0.25,1,0.9994794139861352
158.268,-40.11,-72.486,4.28,-1.56,0.24,1,0.9993250065617192
212.289,-135.695,-92.133,4.87,-1.79,0.24,1,0.9994221330155132
236.292,-125.467,-65.622,4.31,-1.86,0.24,1,0.9992406767702177
90.619,-107.662,999.0,999.0,-1.21,0.26,1,0.9996870642065145
23.206,1.289,-78.267,4.87,-1.48,0.26,1,0.9979430967626526
254.168,-61.21,999.0,999.0,-2.34,0.26,1,0.9982013719675513
142.854,-64.529,-71.667,4.27,-1.67,0.21,1,0.9996076194970529
18.12,-66.492,-84.945,4.45,-1.9,0.24,1,0.9993816860650157
190.908,-235.34,999.0,999.0,-2.25,0.21,1,0.993939627167306
43.477,-121.938,999.0,999.0,-1.61,0.24,1,0.9994917537212018
132.121,-75.557,999.0,999.0,-2.07,0.26,1,0.999668327280939
-26.537,-49.695,999.0,999.0,-1.85,0.26,1,0.9985676816869745
-32.249,-123.586,999.0,999.0,-1.83,0.24,1,0.9980918543090347
131.717,-3.497,999.0,999.0,-1.97,0.27,1,0.9984523149672423
44.434,-20.733,999.0,999.0,-1.38,0.23,1,0.9990388916051766
193.087,-69.529,999.0,999.0,-1.89,0.21,1,0.999434724466091
193.579,-108.195,-74.11,3.19,-1.53,0.24,1,0.9995729758736215
103.906,-96.456,999.0,999.0,-1.66,0.27,1,0.9997052357933053
136.839,-153.911,999.0,999.0,-2.09,0.28,1,0.9995345495702669
99.357,-166.779,999.0,999.0,-2.26,0.27,1,0.9993239266156679
180.063,-187.945,999.0,999.0,-2.04,0.23,1,0.998896020645713
275.229,-76.816,999.0,999.0,-2.28,0.27,1,0.9978099862209098
320.706,-115.535,999.0,999.0,-2.16,0.24,1,0.9951582054636221
205.915,-169.39,999.0,999.0,-1.87,0.23,1,0.9991433167160965
49.047,-181.321,999.0,999.0,-1.99,0.23,1,0.9983527378172345
74.85,-65.921,999.0,999.0,-1.48,0.22,1,0.999620720095112
166.878,-169.364,999.0,999.0,-1.85,0.27,1,0.9993345109407522
22.412,-85.981,999.0,999.0,-1.46,0.24,1,0.9994545944151664
146.685,-97.343,999.0,999.0,-1.6,0.25,1,0.9996910765889503
43.68,-53.903,999.0,999.0,-1.52,0.29,1,0.9994685350147815
193.721,-91.97,999.0,999.0,-1.97,0.24,1,0.9995468282097258
115.526,-162.833,999.0,999.0,-1.57,0.24,1,0.9994261603907089
232.252,-74.373,999.0,999.0,-1.83,0.2,1,0.9990579280349746
0.032,-83.403,999.0,999.0,-1.47,0.21,1,0.9992432107964747
158.831,-111.785,999.0,999.0,-2.26,0.23,1,0.999673491302874
-27.296,-195.05,999.0,999.0,-1.86,0.23,1,0.9882605561132034
184.61,-125.081,-84.779,3.94,-1.8,0.21,1,0.9995915600190795
3435.777,2886.963,999.0,999.0,-0.67,0.24,0,0.0
491.115,-2892.747,-15.117,4.88,-1.23,0.24,0,0.0
-1565.48,715.747,999.0,999.0,-0.83,0.25,0,9.257475920205005e-107
2772.409,-4152.881,999.0,999.0,-0.73,0.22,0,0.0
1328.234,-3505.566,999.0,999.0,-0.74,0.21,0,0.0
4066.272,1153.573,-40.445,3.02,-0.27,0.24,0,0.0
-303.293,-3448.315,999.0,999.0,-0.51,0.29,0,0.0
-3565.593,-4680.926,18.617,3.04,-0.95,0.24,0,0.0
2585.328,4105.264,999.0,999.0,-0.78,0.2,0,0.0
-1365.482,-84.863,999.0,999.0,-0.54,0.24,0,3.907309866672821e-65
-4668.68,-4799.911,999.0,999.0,-0.74,0.24,0,0.0
3108.583,2143.052,999.0,999.0,-1.13,0.28,0,0.0
758.367,485.489,999.0,999.0,-0.13,0.29,0,4.480319488885898e-43
-4986.342,3466.28,999.0,999.0,-0.77,0.21,0,0.0
2004.835,1148.897,999.0,999.0,-0.37,0.3,0,7.294475862748339e-272
-2567.869,4038.932,6.84,3.52,-0.19,0.27,0,0.0
-3844.973,-4804.161,999.0,999.0,-0.98,0.25,0,0.0
1318.241,2508.75,999.0,999.0,-0.73,0.24,0,0.0
-567.411,-4985.292,999.0,999.0,-0.45,0.28,0,0.0
2245.118,-2420.353,999.0,999.0,-0.58,0.22,0,0.0
409.488,1335.853,-45.694,5.04,-0.84,0.22,0,8.644618154813405e-162
1836.973,807.257,999.0,999.0,-0.32,0.22,0,5.403970796272667e-182
1792.334,2014.014,3.195,4.64,-0.89,0.26,0,0.0
252.654,1149.456,999.0,999.0,-0.63,0.22,0,2.298945121638115e-117
-4432.766,-2968.798,999.0,999.0,-0.78,0.23,0,0.0
-1130.927,-102.338,999.0,999.0,-0.54,0.23,0,1.0030932836682743e-45
1520.119,4397.074,999.0,999.0,-0.41,0.27,0,0.0
-3946.905,-4689.186,-55.376,2.89,-0.83,0.29,0,0.0
-528.328,-2375.983,999.0,999.0,-0.99,0.24,0,0.0
-3202.861,-291.844,999.0,999.0,-0.68,0.27,0,0.0
4436.641,3588.247,999.0,999.0,-0.97,0.22,0,0.0
2405.873,-2773.35,-2.99,4.67,-0.97,0.26,0,0.0
-274.189,4894.065,999.0,999.0,-0.9,0.22,0,0.0
3055.779,3034.018,-41.628,2.93,-0.68,0.28,0,0.0
-2906.301,1497.336,999.0,999.0,-0.66,0.2,0,0.0
3591.201,-2603.59,999.0,999.0,-0.74,0.25,0,0.0
-3631.183,4098.588,-21.637,4.04,-0.93,0.23,0,0.0
-2374.228,-2494.432,999.0,999.0,-0.85,0.25,0,0.0
787.672,2648.288,999.0,999.0,-0.42,0.26,0,0.0
-4950.266,-1827.925,999.0,999.0,-1.23,0.26,0,0.0
-2014.256,4677.239,999.0,999.0,-0.8,0.21,0,0.0
-1889.313,1823.009,999.0,999.0,-0.84,0.29,0,0.0
-1618.463,2987.903,16.982,4.5,-0.8,0.25,0,0.0
3190.834,-199.314,999.0,999.0,-0.71,0.26,0,7.447558454499348e-285
4116.808,-1239.646,999.0,999.0,-0.52,0.2,0,0.0
-3162.499,2868.234,999.0,999.0,-0.94,0.24,0,0.0
1660.712,2429.885,999.0,999.0,-1.04,0.25,0,0.0
1891.552,2138.615,999.0,999.0,-0.49,0.26,0,0.0
-3350.764,3040.848,-12.142,3.94,-1.22,0.27,0,0.0
-44.37,1956.484,999.0,999.0,-0.54,0.21,0,6.49747817136826e-306
-2471.243,1661.13,999.0,999.0,-0.55,0.25,0,0.0
-947.03,4235.702,-3.595,4.53,-0.56,0.29,0,0.0
4571.378,-3288.171,999.0,999.0,-1.07,0.21,0,0.0
3045.295,2869.489,999.0,999.0,-0.96,0.21,0,0.0
-129.825,-2384.352,999.0,999.0,-1.18,0.24,0,0.0
-1459.043,4566.231,999.0,999.0,-0.23,0.24,0,0.0
2213.573,-2727.826,999.0,999.0,-0.97,0.22,0,0.0
-3788.707,1134.996,999.0,999.0,-0.45,0.21,0,0.0
944.944,4237.219,999.0,999.0,-0.83,0.28,0,0.0
-4365.403,-2654.051,999.0,999.0,-0.85,0.3,0,0.0
4163.878,4626.939,999.0,999.0,-0.94,0.3,0,0.0
-1172.917,4929.017,999.0,999.0,-0.89,0.25,0,0.0
-4953.148,2867.009,999.0,999.0,-0.74,0.26,0,0.0
4231.584,3425.745,999.0,999.0,-0.49,0.21,0,0.0
-2604.178,-138.802,999.0,999.0,-0.91,0.25,0,1.155799801594169e-229
1160.083,-4272.445,-49.693,4.68,-0.36,0.3,0,0.0
-3330.869,4574.795,999.0,999.0,-0.77,0.28,0,0.0
4481.329,2517.974,999.0,999.0,-0.49,0.24,0,0.0
-4077.515,-744.382,999.0,999.0,-0.77,0.23,0,0.0
-3977.604,-2840.38,999.0,999.0,-0.59,0.21,0,0.0
283.28,-813.974,999.0,999.0,-0.93,0.28,0,1.5318403582666412e-33
1167.38,-779.182,999.0,999.0,-0.56,0.25,0,3.9685228489971445e-51
3404.884,1288.703,999.0,999.0,-0.66,0.3,0,0.0
-677.416,-4687.62,999.0,999.0,-1.0,0.23,0,0.0
3225.765,-1797.96,999.0,999.0,-0.89,0.25,0,0.0
-2747.29,4343.815,999.0,999.0,-0.63,0.22,0,0.0
-2277.154,3140.065,999.0,999.0,-0.69,0.21,0,0.0
1310.334,4487.561,999.0,999.0,-1.18,0.26,0,0.0
-4852.483,-341.652,999.0,999.0,-0.59,0.24,0,0.0
-3087.948,3756.229,999.0,999.0,-0.51,0.25,0,0.0
1832.356,-2683.421,999.0,999.0,-1.13,0.24,0,0.0
2157.037,-3172.344,999.0,999.0,-0.74,0.25,0,0.0
1785.765,1460.497,999.0,999.0,-0.6,0.26,0,0.0
-2225.161,-3921.378,999.0,999.0,-0.72,0.23,0,0.0
4935.728,-120.449,999.0,999.0,-0.25,0.25,0,0.0
142.378,-3777.542,999.0,999.0,-1.05,0.23,0,0.0
3205.118,-3321.152,999.0,999.0,-0.45,0.28,0,0.0
